Reference, Value, Footprint, Datasheet, PartNo, Mfg, AssemblyVariant, Description, Supplier_Name, RS Part Number, Manufacturer_Name, Manufacturer_Part_Number, Height
"P102","BeagleBone_Black_Header","Socket_BeagleBone_Black:Socket_BeagleBone_Black","","S2211EC-23-ND","Sullins","1","","","","","",""
"P103","BeagleBone_Black_Header","Socket_BeagleBone_Black:Socket_BeagleBone_Black","","S2211EC-23-ND","Sullins","1","","","","","",""
"D2","Green","","","732-4983-1-ND","Wurth Electronics Inc.","1","","","","","",""
"J101","DB25","","","1175-1816-ND","CNC Tech","1","","","","","",""
"P101","IDC26","","","1175-1625-ND","CNC Tech","1","","","","","",""
"P104","IDC26","","","1175-1625-ND","CNC Tech","2","","","","","",""
"J102","DB25","","","1175-1815-ND","CNC Tech","2","","","","","",""
"R102","330","","","311-330ARCT-ND","Yaego","1","","","","","",""
"D1","Yellow","","","732-4987-1-ND","Wurth Electronics Inc.","1","","","","","",""
"R101","330","","","311-330ARCT-ND","Yaego","1","","","","","",""
"SW101","SW_Push","","","CKN9112CT-ND","C&K","1","","","","","",""
"SW102","SW_Push","","","CKN9112CT-ND","C&K","1","","","","","",""
"Q101","2N7002K","","","2N7002K-7DICT-ND","Diodes Inc.","1","","","","","",""
"P105","Conn_02x03_Odd_Even","","","952-1922-ND","Harwin Inc.","1","","","","","",""
"JP101","Jumper_NC_Dual_Double_Header","","","952-1922-ND","Harwin Inc.","1","","","","","",""
"Z105","Light_Pipe_2_LED","","","350-3399-ND","Dialight","1","","","","","",""
"Z101","GENERIC_BLOCK","","","1175-1625-ND","CNC Tech","1","","","","","",""
"Z102","GENERIC_BLOCK","","","MC26G-5-ND","3M","1","","","","","",""
"Z103","GENERIC_BLOCK","","","1175-1625-ND","CNC Tech","2","","","","","",""
"Z104","GENERIC_BLOCK","","","MC26G-5-ND","3M","2","","","","","",""
"IC201","GTL2003PW","SOP65P640X110-20N","http://www.nxp.com/documents/data_sheet/GTL2003.pdf","568-4232-5-ND","NXP USA Inc.","1","NXP - GTL2003PW - IC, GTL LO-VOLT TRANSLATOR, 20TSSOP","RS","510960","Nexperia","GTL2003PW","1.1"
"R201","10k","","","311-10KARCT-ND","Yaego","1","","","","","",""
"C201","0.1u","","","1276-1007-1-ND","Samsung Electro-Mechanics","1","","","","","",""
"R202","200k","","","311-200KARCT-ND","Yaego","1","","","","","",""
"IC202","GTL2003PW","SOP65P640X110-20N","http://www.nxp.com/documents/data_sheet/GTL2003.pdf","568-4232-5-ND","NXP USA Inc.","1","NXP - GTL2003PW - IC, GTL LO-VOLT TRANSLATOR, 20TSSOP","RS","510960","Nexperia","GTL2003PW","1.1"
"R203","10k","","","311-10KARCT-ND","Yaego","1","","","","","",""
"C202","0.1u","","","1276-1007-1-ND","Samsung Electro-Mechanics","1","","","","","",""
"R204","200k","","","211-200KARCT-ND","Yaego","1","","","","","",""
"IC203","GTL2003PW","SOP65P640X110-20N","http://www.nxp.com/documents/data_sheet/GTL2003.pdf","568-4232-5-ND","NXP USA Inc.","1","NXP - GTL2003PW - IC, GTL LO-VOLT TRANSLATOR, 20TSSOP","RS","510960","Nexperia","GTL2003PW","1.1"
"R205","10k","","","311-10KARCT-ND","Yaego","1","","","","","",""
"C203","0.1u","","","1276-1007-1-ND","Samsung Electro-Mechanics","1","","","","","",""
"R206","200k","","","311-200KARCT-ND","Yaego","1","","","","","",""
"IC204","GTL2003PW","SOP65P640X110-20N","http://www.nxp.com/documents/data_sheet/GTL2003.pdf","568-4232-5-ND","NXP USA Inc.","2","NXP - GTL2003PW - IC, GTL LO-VOLT TRANSLATOR, 20TSSOP","RS","510960","Nexperia","GTL2003PW","1.1"
"R207","10k","","","311-10KARCT-ND","Yaego","2","","","","","",""
"C204","0.1u","","","1276-1007-1-ND","Samsung Electro-Mechanics","2","","","","","",""
"R208","200k","","","311-200KARCT-ND","Yaego","2","","","","","",""
"IC205","GTL2003PW","SOP65P640X110-20N","http://www.nxp.com/documents/data_sheet/GTL2003.pdf","568-4232-5-ND","NXP USA Inc.","2","NXP - GTL2003PW - IC, GTL LO-VOLT TRANSLATOR, 20TSSOP","RS","510960","Nexperia","GTL2003PW","1.1"
"R209","10k","","","311-10KARCT-ND","Yaego","2","","","","","",""
"C205","0.1u","","","1276-1007-1-ND","Samsung Electro-Mechanics","2","","","","","",""
"R210","200k","","","311-200KARCT-ND","Yaego","2","","","","","",""
"RN201","10k","","","CAT16-103J4LFCT-ND","Bourns Inc.","1","","","","","",""
"RN204","10k","","","CAT16-103J4LFCT-ND","Bourns Inc.","1","","","","","",""
"RN202","10k","","","CAT16-103J4LFCT-ND","Bourns Inc.","1","","","","","",""
"RN205","10k","","","CAT16-103J4LFCT-ND","Bourns Inc.","1","","","","","",""
"RN203","10k","","","CAT16-103J4LFCT-ND","Bourns Inc.","1","","","","","",""
"RN206","10k","","","CAT16-103J4LFCT-ND","Bourns Inc.","2","","","","","",""
"RN208","10k","","","CAT16-103J4LFCT-ND","Bourns Inc.","2","","","","","",""
"RN207","10k","","","CAT16-103J4LFCT-ND","Bourns Inc.","2","","","","","",""
"RN209","10k","","","CAT16-103J4LFCT-ND","Bourns Inc.","2","","","","","",""
"R211","200k","","","311-200KARCT-ND","Yaego","1","","","","","",""
"R212","10k","","","311-10KARCT-ND","Yaego","1","","","","","",""
